RVB_spsa,RVB_adam,HVA_spsa,HVA_adam
-17.560434807506144,-16.929464300685975,-17.54594558665383,-14.301684931237038
-17.564399259827358,-16.92946430069347,-17.564318649865694,-14.301684931009103
-17.564950512729933,-16.92946430068326,-17.55250820953051,-14.301684931201567
-17.561004301567216,-16.92946430069499,-17.56894280748312,-14.30168493121299
-17.558469567935525,-16.929464300635903,-17.563261482009345,-14.301684931083434
-17.568209470204785,-16.92946430068672,-17.568054479565603,-14.301684931148923
-17.557039367630015,-16.929464300692995,-17.562924133590382,-14.301684931108905
-17.574179232249705,-16.929464300690363,-17.56744869442927,-14.301684931161553
-17.576280532552534,-16.92946430069149,-17.562948840870593,-14.301684931066792
-17.568508940126776,-16.9294643006758,-17.568249767482683,-14.301684931181622
-17.56739385916401,-16.92946430062173,-17.55113383426932,-14.301684931187776
-17.58024269271813,-16.92946430069352,-17.581942943810823,-14.301684931075421
-17.57455369077324,-16.929464300605254,-17.567430992667536,-14.301684931104324
-17.58054147857503,-16.929464300710283,-17.59845537373159,-14.301684931133394
-17.572426772582364,-16.929464300671697,-17.62038668388214,-14.448070629020899
-17.5842928274187,-16.92946430066374,-17.57802737151569,-14.448070629006104
-17.56945797680838,-16.97380601160633,-17.634998184495146,-14.448070629055172
-17.59339934170872,-16.973806011606406,-17.621203942348092,-14.448070629005132
-17.592977384547027,-16.973806011549087,-17.639090664121802,-14.448070629015241
-17.596000499721455,-16.973806011607167,-17.62298818436957,-14.448070629045711
-17.594430988314404,-16.973806011572226,-17.60972379241765,-14.448070629015245
-17.595451633931546,-16.973806011605397,-17.660845238622784,-14.448070629021622
-17.592445304585073,-16.973806011604523,-17.679420142827844,-14.448070629043452
-17.596953567437687,-16.97380601160457,-17.676851994418616,-14.448070629040279
-17.608863232491235,-16.973806011603983,-17.678452726664833,-14.448070629020057
-17.58176019860729,-16.973806011597695,-17.67810885845006,-14.448070629043508
-17.60602109333551,-16.97380601160475,-17.697216186038357,-14.44807062901466
-17.61882766685197,-16.973806011595123,-17.659011238873294,-14.448070629008294
-17.621163147432576,-16.973806011606193,-17.725730453788326,-14.448070629070536
-17.611332536606938,-16.97380601154831,-17.679581153911325,-14.448070629000577
-17.624811810593556,-16.97380601159859,-17.7410298814204,-14.448070629014246
-17.61238257146847,-16.973806011604395,-17.74302640498257,-14.44807062906784
-17.629998243301287,-16.973806011601923,-17.740129104230224,-14.448070629004409
-17.61395308459452,-16.973806011602914,-17.74326229197401,-14.448070629016922
-17.616607854662846,-16.973806011587833,-17.74265703703159,-14.448070628889717
-17.63926400738703,-16.97380601153422,-17.74076921257628,-14.448070628942013
-17.64104059444484,-16.973806011605056,-17.755383139597082,-14.448070629022398
-17.638554298918187,-16.97380601151839,-17.728214032518746,-14.448070629063402
-17.648374763566494,-16.973806011620376,-17.75203209383924,-14.448070628841746
