,RVB_adam
515,-17.940978597917436
516,-17.94097859791654
517,-17.940978597916658
518,-17.940978597916455
519,-17.94097859791645
520,-17.944906659901488
521,-17.94490665989151
522,-17.94490665990143
523,-17.94490665990149
524,-17.94490665990141
525,-17.94490665989484
526,-17.944906659862944
527,-17.944906659902976
528,-17.944906659902184
529,-17.944906659901402
530,-17.944906659901495
531,-17.944906659901328
532,-17.94490665990133
533,-17.94857638452409
534,-17.948576384514897
535,-17.94857638452447
536,-17.94857638452409
537,-17.94857638452402
538,-17.948576384518145
539,-17.948576384486636
540,-17.94857638452524
541,-17.94857638452469
542,-17.948576384524028
543,-17.948576384524106
544,-17.948576384523957
545,-17.948576384523957
546,-17.95200299291683
547,-17.952002992908405
548,-17.95200299291759
549,-17.95200299291683
550,-17.95200299291678
551,-17.95200299291156
552,-17.952002992880445
553,-17.952002992917613
554,-17.952002992917258
555,-17.95200299291678
556,-17.952002992916842
557,-17.952002992916707
558,-17.952002992916714
559,-17.955201382475057
560,-17.95520138246734
561,-17.955201382476158
562,-17.95520138247505
563,-17.955201382475003
564,-17.95520138247041
565,-17.955201382439743
566,-17.95520138247553
567,-17.955201382475302
568,-17.955201382475014
569,-17.955201382475057
570,-17.955201382474954
571,-17.95520138247496
572,-17.958186545613646
573,-17.958186545606647
574,-17.958186545615046
575,-17.958186545613643
576,-17.95818654561361
577,-17.958186545609603
578,-17.95818654557938
579,-17.958186545613806
580,-17.95818654561372
581,-17.958186545613614
582,-17.95818654561365
583,-17.958186545613565
584,-17.95818654561356
585,-17.96097341512434
586,-17.960973415118023
587,-17.960973415126034
588,-17.96097341512434
589,-17.96097341512431
590,-17.96097341512087
591,-17.960973415091104
592,-17.960973415124226
593,-17.960973415124247
594,-17.96097341512431
595,-17.96097341512434
596,-17.96097341512426
597,-17.960973415124272
598,-17.963576793089434
599,-17.96357679308373
600,-17.96357679309136
601,-17.96357679308943
602,-17.963576793089413
603,-17.963576793086503
604,-17.96357679305723
605,-17.963576793089068
606,-17.9635767930892
607,-17.963576793089413
608,-17.96357679308943
609,-17.96357679308937
610,-17.963576793089373
611,-17.966010962644276
612,-17.966010962639185
613,-17.96601096264641
614,-17.966010962644287
615,-17.966010962644265
616,-17.966010962641853
617,-17.966010962613083
618,-17.96601096264368
619,-17.966010962643917
620,-17.966010962644265
621,-17.966010962644276
622,-17.966010962644223
623,-17.966010962644226
624,-17.968289387349717
625,-17.9682893873452
626,-17.968289387352012
627,-17.968289387349717
628,-17.968289387349703
629,-17.96828938734776
630,-17.968289387319505
631,-17.968289387348932
632,-17.968289387349298
633,-17.968289387349703
634,-17.968289387349717
635,-17.96828938734967
636,-17.96828938734967
637,-17.97042445044732
638,-17.97042445044335
639,-17.97042445044976
640,-17.97042445044732
641,-17.970424450447315
642,-17.9704244504458
643,-17.97042445041809
644,-17.970424450446366
645,-17.97042445044687
646,-17.970424450447318
647,-17.97042445044732
648,-17.970424450447286
649,-17.97042445044729
650,-17.972427209665863
651,-17.972427209662396
652,-17.972427209668414
653,-17.972427209665867
654,-17.97242720966585
655,-17.972427209664758
656,-17.972427209637583
657,-17.972427209664794
658,-17.972427209665387
659,-17.972427209665856
660,-17.972427209665863
661,-17.972427209665838
662,-17.972427209665828
663,-17.97430751336895
664,-17.97430751336597
665,-17.974307513371574
666,-17.974307513368945
667,-17.97430751336894
668,-17.97430751336822
669,-17.974307513341618
670,-17.97430751336776
671,-17.97430751336852
672,-17.97430751336894
673,-17.97430751336895
674,-17.974307513368927
675,-17.974307513368924
676,-17.976073854594695
677,-17.976073854592165
678,-17.97607385459736
679,-17.976073854594695
680,-17.976073854594684
681,-17.97607385459432
682,-17.976073854568288
683,-17.976073854593434
684,-17.976073854594297
685,-17.976073854594688
686,-17.976073854594688
687,-17.976073854594677
688,-17.97607385459467
689,-17.977733766229147
690,-17.97773376622704
691,-17.977733766231864
692,-17.977733766229154
693,-17.977733766229147
694,-17.977733766229086
695,-17.977733766203645
696,-17.977733766227868
697,-17.97773376622885
698,-17.97773376622915
699,-17.97773376622915
700,-17.977733766229125
701,-17.977733766229136
702,-17.979293834394454
703,-17.97929383439276
704,-17.979293834397176
705,-17.97929383439444
706,-17.979293834394444
707,-17.979293834394685
708,-17.979293834369848
709,-17.979293834393157
710,-17.979293834394248
711,-17.979293834394454
